filename,x1_before,x1_after,y1_before,y1_after,x2_before,x2_after,y2_before,y2_after,width_before,width_after,height_before,height_after,skew_before,skew_after,abs_skew_before,abs_skew_after,delta_x1,delta_y1,delta_x2,delta_y2,delta_width,delta_height,delta_skew,delta_abs_skew,abs_delta_skew
v1_012,380,388,364,360,2556,2556,4172,4168,2176,2168,3808,3808,0.21,0.32,0.21,0.32,8,-4,0,-4,-8,0,0.11,0.11,0.11
v1_013,220,228,400,400,2360,2372,4232,4228,2140,2144,3832,3828,0.00,-0.11,0.00,0.11,8,0,12,-4,4,-4,-0.11,0.11,0.11
v1_014,512,520,396,400,2672,2680,4220,4228,2160,2160,3824,3828,-0.43,-0.32,0.43,0.32,8,4,8,8,0,4,0.11,-0.11,0.11
v1_015,228,244,340,336,2376,2388,4140,4144,2148,2144,3800,3808,-0.11,-0.11,0.11,0.11,16,-4,12,4,-4,8,-0.00,0.00,0.00
v1_016,512,524,348,352,2664,2676,4136,4140,2152,2152,3788,3788,0.11,0.00,0.11,0.00,12,4,12,4,0,0,-0.11,-0.11,0.11
v1_017,260,272,372,392,2412,2416,4200,4200,2152,2144,3828,3808,0.97,0.86,0.97,0.86,12,20,4,0,-8,-20,-0.10,-0.10,0.10
v1_018,496,512,372,368,2656,2660,4192,4192,2160,2148,3820,3824,0.11,-0.64,0.11,0.64,16,-4,4,0,-12,4,-0.75,0.54,0.54
v1_019,320,332,388,388,2484,2496,4212,4212,2164,2164,3824,3824,0.32,0.32,0.32,0.32,12,0,12,0,0,0,0.00,0.00,0.00
v1_020,404,444,384,380,2564,2576,4196,4200,2160,2132,3812,3820,-0.22,-0.32,0.22,0.32,40,-4,12,4,-28,8,-0.11,0.11,0.11
v1_021,324,344,352,352,2488,2508,4180,4184,2164,2164,3828,3832,0.43,0.32,0.43,0.32,20,0,20,4,0,4,-0.11,-0.11,0.11
v1_022,376,412,340,340,2564,2576,4164,4168,2188,2164,3824,3828,-0.64,-0.86,0.64,0.86,36,0,12,4,-24,4,-0.22,0.22,0.22
v1_023,332,348,384,388,2480,2500,4204,4204,2148,2152,3820,3816,0.11,0.00,0.11,0.00,16,4,20,0,4,-4,-0.11,-0.11,0.11
v1_024,380,408,380,384,2540,2564,4208,4220,2160,2156,3828,3836,-0.43,-0.43,0.43,0.43,28,4,24,12,-4,8,-0.00,0.00,0.00
v1_025,232,260,316,308,2448,2448,4172,4176,2216,2188,3856,3868,1.06,0.00,1.06,0.00,28,-8,0,4,-28,12,-1.06,-1.06,1.06
v1_026,408,432,348,320,2608,2596,4176,4180,2200,2164,3828,3860,-0.80,0.00,0.80,0.00,24,-28,-12,4,-36,32,0.80,-0.80,0.80
v1_027,204,240,396,396,2356,2380,4176,4180,2152,2140,3780,3784,0.00,0.00,0.00,0.00,36,0,24,4,-12,4,0.00,0.00,0.00
v1_028,460,492,376,380,2632,2636,4164,4168,2172,2144,3788,3788,0.11,0.00,0.11,0.00,32,4,4,4,-28,0,-0.11,-0.11,0.11
v1_029,164,204,396,396,2340,2364,4208,4204,2176,2160,3812,3808,0.54,0.43,0.54,0.43,40,0,24,-4,-16,-4,-0.11,-0.11,0.11
v1_030,508,544,408,408,2668,2700,4208,4208,2160,2156,3800,3800,-0.32,-0.54,0.32,0.54,36,0,32,0,-4,0,-0.22,0.22,0.22
v1_031,204,240,352,360,2360,2392,4204,4192,2156,2152,3852,3832,0.32,0.00,0.32,0.00,36,8,32,-12,-4,-20,-0.32,-0.32,0.32
v1_033,212,248,364,368,2376,2408,4204,4208,2164,2160,3840,3840,0.32,0.32,0.32,0.32,36,4,32,4,-4,0,0.00,0.00,0.00
v1_034,488,532,360,356,2636,2664,4208,4208,2148,2132,3848,3852,-0.65,0.00,0.65,0.00,44,-4,28,0,-16,4,0.65,-0.65,0.65
v1_035,252,264,364,368,2420,2432,4212,4216,2168,2168,3848,3848,0.11,-0.43,0.11,0.43,12,4,12,4,0,0,-0.54,0.32,0.32
v1_036,468,496,360,364,2632,2644,4228,4184,2164,2148,3868,3820,-0.11,-0.11,0.11,0.11,28,4,12,-44,-16,-48,0.00,0.00,0.00
v1_037,240,256,360,360,2436,2440,4208,4204,2196,2184,3848,3844,0.64,0.64,0.64,0.64,16,0,4,-4,-12,-4,0.00,0.00,0.00
v1_038,436,460,356,344,2612,2628,4192,4192,2176,2168,3836,3848,-0.64,-0.86,0.64,0.86,24,-12,16,0,-8,12,-0.22,0.22,0.22
v1_041,248,260,348,348,2420,2444,4164,4168,2172,2184,3816,3820,0.32,0.42,0.32,0.42,12,0,24,4,12,4,0.10,0.10,0.10
v1_042,456,476,328,328,2624,2636,4176,4176,2168,2160,3848,3848,-0.32,-0.43,0.32,0.43,20,0,12,0,-8,0,-0.11,0.11,0.11
v1_043,272,292,300,300,2428,2448,4116,4112,2156,2156,3816,3812,0.00,0.00,0.00,0.00,20,0,20,-4,0,-4,0.00,0.00,0.00
v1_044,440,460,340,320,2592,2608,4148,4144,2152,2148,3808,3824,0.00,-0.11,0.00,0.11,20,-20,16,-4,-4,16,-0.11,0.11,0.11
v1_045,272,292,328,328,2416,2436,4132,4136,2144,2144,3804,3808,0.00,0.00,0.00,0.00,20,0,20,4,0,4,0.00,0.00,0.00
v1_046,460,472,340,344,2604,2624,4164,4168,2144,2152,3824,3824,0.00,0.00,0.00,0.00,12,4,20,4,8,0,0.00,0.00,0.00
v1_047,272,288,356,356,2416,2432,4176,4176,2144,2144,3820,3820,0.23,0.00,0.23,0.00,16,0,16,0,0,0,-0.23,-0.23,0.23
v1_048,440,460,348,348,2600,2616,4176,4180,2160,2156,3828,3832,0.21,0.32,0.21,0.32,20,0,16,4,-4,4,0.11,0.11,0.11
v1_049,268,304,336,336,2436,2452,4144,4140,2168,2148,3808,3804,0.00,0.11,0.00,0.11,36,0,16,-4,-20,-4,0.11,0.11,0.11
v1_050,452,460,352,360,2616,2632,4132,4136,2164,2172,3780,3776,0.00,0.00,0.00,0.00,8,8,16,4,8,-4,0.00,0.00,0.00
v1_051,320,332,348,348,2464,2488,4196,4220,2144,2156,3848,3872,-0.11,-0.11,0.11,0.11,12,0,24,24,12,24,0.00,-0.00,0.00
v1_052,424,444,324,332,2584,2600,4156,4160,2160,2156,3832,3828,-0.21,-0.22,0.21,0.22,20,8,16,4,-4,-4,-0.00,0.00,0.00
